time,f0,language,location,group,gender,speaker,condition,f0_cent,dt,df0,f0stab
0.324263038548753,257.874061687916,Mandarin,Auckland,C1,Female,15,conv,-925.004228499922,0.00498866213151927,2071.52996279043,-2071.52996279043
0.329251700680272,254.912125463852,Mandarin,Auckland,C1,Female,15,conv,-945.004228499922,0.00498866213151927,1979.74989237325,-1979.74989237325
0.334240362811791,257.874061687916,Mandarin,Auckland,C1,Female,15,conv,-925.004228499922,0.00498866213151927,1717.67880794246,-1717.67880794246
0.339229024943311,253.443939657412,Mandarin,Auckland,C1,Female,15,conv,-955.004228499922,0.00498866213151927,1324.36659186617,-1324.36659186617
0.34421768707483,251.984209978975,Mandarin,Auckland,C1,Female,15,conv,-965.004228499922,0.00498866213151927,859.180605789692,-859.180605789692
0.349206349206349,251.984209978975,Mandarin,Auckland,C1,Female,15,conv,-965.004228499922,0.00498866213151927,386.266658719019,-386.266658719019
0.354195011337868,251.984209978975,Mandarin,Auckland,C1,Female,15,conv,-965.004228499922,0.00498866213151927,-40.1888772468795,-40.1888772468795
0.359183673469388,250.532887724826,Mandarin,Auckland,C1,Female,15,conv,-975.004228499922,0.00498866213151927,-385.352918284708,-385.352918284708
0.364172335600907,250.532887724826,Mandarin,Auckland,C1,Female,15,conv,-975.004228499922,0.00498866213151927,-636.101803707115,-636.101803707115
0.369160997732426,247.655272075488,Mandarin,Auckland,C1,Female,15,conv,-995.004228499922,0.00498866213151933,-797.527013508444,-797.527013508444
0.374149659863946,247.655272075488,Mandarin,Auckland,C1,Female,15,conv,-995.004228499922,0.00498866213151927,-886.352866366059,-886.352866366059
0.379138321995465,247.655272075488,Mandarin,Auckland,C1,Female,15,conv,-995.004228499922,0.00498866213151927,-924.004906313402,-924.004906313402
0.384126984126984,246.228882668983,Mandarin,Auckland,C1,Female,15,conv,-1005.00422849992,0.00498866213151927,-931.062550372537,-931.062550372537
0.389115646258503,246.228882668983,Mandarin,Auckland,C1,Female,15,conv,-1005.00422849992,0.00498866213151927,-923.711698705936,-923.711698705936
0.394104308390023,246.228882668983,Mandarin,Auckland,C1,Female,15,conv,-1005.00422849992,0.00498866213151927,-912.108704838793,-912.108704838793
0.399092970521542,246.228882668983,Mandarin,Auckland,C1,Female,15,conv,-1005.00422849992,0.00498866213151927,-900.306271695753,-900.306271695753
0.404081632653061,243.400702734118,Mandarin,Auckland,C1,Female,15,conv,-1025.00422849992,0.00498866213151927,-887.339897175006,-887.339897175006
0.409070294784581,243.400702734118,Mandarin,Auckland,C1,Female,15,conv,-1025.00422849992,0.00498866213151927,-869.038485477464,-869.038485477464
0.4140589569161,243.400702734118,Mandarin,Auckland,C1,Female,15,conv,-1025.00422849992,0.00498866213151927,-840.083930296115,-840.083930296115
0.419047619047619,241.998817843859,Mandarin,Auckland,C1,Female,15,conv,-1035.00422849992,0.00498866213151927,-795.875783341057,-795.875783341057
0.424036281179138,241.998817843859,Mandarin,Auckland,C1,Female,15,conv,-1035.00422849992,0.00498866213151927,-733.892167067247,-733.892167067247
0.429024943310658,240.605007216423,Mandarin,Auckland,C1,Female,15,conv,-1045.00422849992,0.00498866213151927,-654.418755071926,-654.418755071926
