Name,ProvidedLanguageName,GlottologL1Name,WalsGenusName,Place,Latitude,Longitude,PlaceOfLatLong,PlaceName,LanguageFamily,Choice,Memo
Jia,English,English,Germanic,"Auckland, NZ",-36.8519,174.7689,"Auckland, NZ","Auckland, NZ",Indo-European,1,
Mark Lenini Parselelo,Maasai,Masai,Eastern Nilotic,,-3,36,,,Nilotic,1,
Niels Chr. Hansen,Danish,Danish,Germanic,Jyllinge,55.7535209,12.1086079,Jyllinge,,Indo-European,1,
Peter Pfordresher,English,English,Germanic,"Buffalo, NY",42.88023,-78.878738,"Buffalo, NY","Buffalo, NY",Indo-European,1,
Dilyana Kurdova,Bulgarian,Bulgarian,Slavic,Varna,43.2073873,27.9166653,Varna,,Indo-European,1,
Psyche Loui,English,English,Germanic,Boston,42.3399,-71.0899,Boston,Boston,Indo-European,1,
Moya et al.,Spanish,Spanish,Romance,Santiago,-33.437776,-70.65045,Santiago,"Santiago, Chile",Indo-European,1,
Brenda Suyanne Barbosa,Mbyá-Guarani,Mbyá Guaraní,Maweti-Guarani,Tekoa Ko'enju (Village)/ São Miguel das Missões/ Rio Grande do Sul/ Brazil,-28.56278,-54.55417,Tekoa Ko'enju (Village)/ São Miguel das Missões/ Rio Grande do Sul/ Brazil,,Tupian,1,
Wojciech Krzyżanowski,Polish,Polish,Slavic,Gorzów Wielkopolski,52.7309926,15.2400451,Gorzów Wielkopolski,,Indo-European,1,
Shahaboddin Dabaghi Varnosfaderani,Persian,Western Farsi,Iranian,Isfahan,32.6707877,51.6650002,Isfahan,Isfahan,Indo-European,1,
Jia,Mandarin,Mandarin Chinese,Chinese,"Auckland, NZ",-36.8519,174.7689,"Auckland, NZ","Auckland, NZ",Sino-Tibetan,1,
Gakuto Chiba,Japanese,Japanese,Japanese,Fujisawa,35.3392,139.4901,Fujisawa,Fujisawa,Japonic,1,
Florence Nweke,Yoruba,Yoruba,Defoid,Lagos,6.4550575,3.3941795,Lagos,,Atlantic-Congo,1,
Pavlovich,Te Reo Māori,Maori,Oceanic,Auckland,-36.8519,174.7689,Auckland,Auckland,Austronesian,1,
Christina Vanden Bosch der Nederlanden,English,English,Germanic,Toronto,43.65107,-79.347015,Toronto,Toronto,Indo-European,1,
Aleksandar Arabadjiev,Macedonian,Macedonian,Slavic,"Radovis, Macedonia",41.6376,22.46184,,,Indo-European,1,
Nguqu,IsiZulu,Zulu,Bantu,"Lusikisiki, Eastern Cape",-31.36144,29.56449,,,Atlantic-Congo,1,
Joshua Bamford,Finnish,Finnish,Finnic,University of Jyv�skyl�,62.2365,25.7316,University of Jyv�skyl�,University of Jyv�skyl�,Uralic,1,
Tudor Popescu,Romanian,Romanian,Romance,,46,25,,,Indo-European,1,
Moya,Mapudungun,Mapudungun,Araucanian,"Castro, Chiloé",-42.479912,-73.764839,,Castro,Araucanian,1,
Kolios,Greek,Greek,Greek,Athens,37.9838,23.7275,,Athens,Indo-European,1,
Grassi,Italian,Italian,Romance,University of Padua,45.4067,11.8772,,University of Padua,Indo-European,1,
Thompson,English,English,Germanic,Bond U,-28.0731,153.4166,,Bond U,Indo-European,1,
Opondo,Luo (dholuo),Luo (Kenya and Tanzania),Western Nilotic,"Mombasa, Nairobi, Songhor, Uholo",-1.292066,36.821945,Nairobi,,Nilotic,1,
Hajc,Czech,Czech,Slavic,Charles University,50.0871,14.4235,Charles University,,Indo-European,1,
Fang Liu,Mandarin,Mandarin Chinese,Chinese,"Reading, UK",51.4551,0.9787,"Reading, UK","Reading, UK",Sino-Tibetan,1,
