d,sgm,Cohens_d
0.815131325559469,0.00638599746412365,1.26850071642301
0.678930251649774,0.00927691630654955,0.657198492405084
0.687951028968802,0.0101992538754613,0.693036507363717
0.908131925095574,0.0056453954878845,1.87996925625172
0.687949725058916,0.0122246616880413,0.693031295416794
0.828460893195383,0.00673860565550357,1.34081680824839
0.601324696644045,0.0105703097869356,0.363138101228643
0.422295402564856,0.0117193787094908,-0.277220840070828
0.745092592123206,0.00968837392352503,0.932145028161861
0.578075793676817,0.0118324030333409,0.278562347181028
0.866734601449275,0.00950555940647743,1.57131465235093
0.916039305313079,0.00619402057238468,1.95007833784529
0.51074274260299,0.00874826526405379,0.038086634504144
0.66844082123387,0.00900612393627692,0.616048213747055
