SpeakerID,d,sgm,Cohens_d
14,0.964636037706004,0.00160978396470319,2.55579557095066
15,0.901264887641652,0.00407426624381882,1.82262787082947
16,0.988052393539361,0.000858698913605193,3.19443958457111
17,0.385911157620052,0.0084921571441594,-0.410110698133185
18,0.913380395801185,0.00504328568011793,1.92597371130242
20,0.456672432922251,0.0107178426865763,-0.153895423191521
19,0.817186620926244,0.00852985808491621,1.27943255946026
12,0.918612221300556,0.0047955474357665,1.97395540758955
13,0.779138730177988,0.00707713386407774,1.08793709343396
8,0.923876845491983,0.00355716975233787,2.02464750409793
9,0.948375279549607,0.00286861269388697,2.30417872706232
10,0.960387428675103,0.00281139819920069,2.48222732430979
11,0.982478743835471,0.00129921973966714,2.98097382240215
1,0.839282025317066,0.00707385144975619,1.40220880883821
3,0.736658192117489,0.0059125562132357,0.895305527855671
5,0.546433864438361,0.011394699006904,0.164977189591412
2,0.527685218945246,0.0103839108580006,0.0982204519280889
4,0.996150613723627,0.000486703211806929,3.76888283315661
6,0.710081746821898,0.00694122269351548,0.782941931176803
7,0.777729541101496,0.00555231516985023,1.08123373737212
