time,f0,language,location,group,gender,speaker,condition
0.3142857142857143,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.31927437641723355,229.73967099940702,Mandarin,Auckland,R1,Female,9,conv
0.3242630385487528,229.73967099940702,Mandarin,Auckland,R1,Female,9,conv
0.3292517006802721,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.33424036281179137,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.33922902494331064,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.3442176870748299,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.3492063492063492,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.35419501133786846,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.35918367346938773,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.364172335600907,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.3691609977324263,231.07053937445463,Mandarin,Auckland,R1,Female,9,conv
0.3741496598639456,229.73967099940702,Mandarin,Auckland,R1,Female,9,conv
0.3791383219954649,229.73967099940702,Mandarin,Auckland,R1,Female,9,conv
0.38412698412698415,229.73967099940702,Mandarin,Auckland,R1,Female,9,conv
0.3891156462585034,228.41646786215435,Mandarin,Auckland,R1,Female,9,conv
0.3941043083900227,229.73967099940702,Mandarin,Auckland,R1,Female,9,conv
0.39909297052154197,227.10088581417543,Mandarin,Auckland,R1,Female,9,conv
0.40408163265306124,227.10088581417543,Mandarin,Auckland,R1,Female,9,conv
0.4090702947845805,224.49240966187455,Mandarin,Auckland,R1,Female,9,conv
0.4140589569160998,223.1994285260446,Mandarin,Auckland,R1,Female,9,conv
0.41904761904761906,221.91389441356898,Mandarin,Auckland,R1,Female,9,conv
0.42403628117913833,221.91389441356898,Mandarin,Auckland,R1,Female,9,conv
0.4290249433106576,221.91389441356898,Mandarin,Auckland,R1,Female,9,conv
0.4340136054421769,221.91389441356898,Mandarin,Auckland,R1,Female,9,conv
0.43900226757369615,221.91389441356898,Mandarin,Auckland,R1,Female,9,conv
0.4439909297052154,220.63576443274928,Mandarin,Auckland,R1,Female,9,conv
0.4489795918367347,220.63576443274928,Mandarin,Auckland,R1,Female,9,conv
0.45396825396825397,220.63576443274928,Mandarin,Auckland,R1,Female,9,conv
0.45895691609977324,219.36499593892518,Mandarin,Auckland,R1,Female,9,conv
0.4639455782312925,219.36499593892518,Mandarin,Auckland,R1,Female,9,conv
0.4689342403628118,218.10154653305153,Mandarin,Auckland,R1,Female,9,conv
0.47392290249433106,215.59643660857103,Mandarin,Auckland,R1,Female,9,conv
0.47891156462585033,215.59643660857103,Mandarin,Auckland,R1,Female,9,conv
0.4839002267573696,215.59643660857103,Mandarin,Auckland,R1,Female,9,conv
0.4888888888888889,214.35469250725862,Mandarin,Auckland,R1,Female,9,conv
0.49387755102040815,213.12010032569688,Mandarin,Auckland,R1,Female,9,conv
0.4988662131519274,214.35469250725862,Mandarin,Auckland,R1,Female,9,conv
0.5038548752834467,211.89261887185907,Mandarin,Auckland,R1,Female,9,conv
0.508843537414966,210.67220719096719,Mandarin,Auckland,R1,Female,9,conv
0.5138321995464853,210.67220719096719,Mandarin,Auckland,R1,Female,9,conv
0.5387755102040817,274.79072949161787,Mandarin,Auckland,R1,Female,9,conv
0.5437641723356009,276.38257599355524,Mandarin,Auckland,R1,Female,9,conv
0.5487528344671202,276.38257599355524,Mandarin,Auckland,R1,Female,9,conv
0.5537414965986395,277.98364396846745,Mandarin,Auckland,R1,Female,9,conv
0.5587301587301587,276.38257599355524,Mandarin,Auckland,R1,Female,9,conv
0.563718820861678,276.38257599355524,Mandarin,Auckland,R1,Female,9,conv
0.5687074829931973,276.38257599355524,Mandarin,Auckland,R1,Female,9,conv
0.5736961451247166,276.38257599355524,Mandarin,Auckland,R1,Female,9,conv
0.5786848072562358,276.38257599355524,Mandarin,Auckland,R1,Female,9,conv
0.5836734693877551,276.38257599355524,Mandarin,Auckland,R1,Female,9,conv
0.5886621315192744,274.79072949161787,Mandarin,Auckland,R1,Female,9,conv
0.5936507936507937,274.79072949161787,Mandarin,Auckland,R1,Female,9,conv
0.5986394557823129,270.06998923363795,Mandarin,Auckland,R1,Female,9,conv
0.6036281179138322,270.06998923363795,Mandarin,Auckland,R1,Female,9,conv
0.6086167800453515,266.96797083400685,Mandarin,Auckland,R1,Female,9,conv
0.6136054421768707,268.51450055605267,Mandarin,Auckland,R1,Female,9,conv
