d,sgm,Cohens_d
0.616404584848807,0.00803060831554281,0.418679901266932
0.697018171197626,0.00914017557051227,0.729512996109437
0.595076333210828,0.010860049438294,0.340292289693643
0.549313622941563,0.00951126059406999,0.175259816962676
0.685950741647798,0.0122603404706887,0.685052028876673
0.627766483776714,0.0114937401492797,0.460953850230028
0.57273231827794,0.00855125897611102,0.259274501531598
0.657605053394033,0.00987309038567631,0.57407968189547
0.491924622162177,0.011006897836093,-0.028628424261739
0.600510486000923,0.0107530457242515,0.360155865509119
0.607553112648221,0.0150558884822632,0.386005684425142
0.473465875890561,0.0125424921497352,-0.0941304787135525
0.670519200276772,0.0079911364027654,0.624159315287591
0.671722819802126,0.00856414125208678,0.628865960117379
