time,f0,speaker,date,condition
1.114,167.112825,6,20240725,sing
1.119,169.921623,6,20240725,sing
1.124,172.542621,6,20240725,sing
1.129,177.006152,6,20240725,sing
1.134,181.587174,6,20240725,sing
1.139,184.78569,6,20240725,sing
1.144,186.446583,6,20240725,sing
1.149,187.832411,6,20240725,sing
1.154,190.002722,6,20240725,sing
1.159,192.571501,6,20240725,sing
1.164,194.219993,6,20240725,sing
1.169,195.393819,6,20240725,sing
1.174,197.018132,6,20240725,sing
1.179,198.701644,6,20240725,sing
1.184,199.658589,6,20240725,sing
1.189,200.255049,6,20240725,sing
1.194,200.786466,6,20240725,sing
1.199,201.126886,6,20240725,sing
1.204,201.397534,6,20240725,sing
1.209,201.843319,6,20240725,sing
1.214,202.446814,6,20240725,sing
1.219,203.106334,6,20240725,sing
1.224,203.892294,6,20240725,sing
1.229,204.856509,6,20240725,sing
1.234,205.578987,6,20240725,sing
1.239,205.684206,6,20240725,sing
1.244,205.395691,6,20240725,sing
1.249,205.15542,6,20240725,sing
1.254,205.106007,6,20240725,sing
1.259,205.140235,6,20240725,sing
1.264,205.090823,6,20240725,sing
1.269,204.954672,6,20240725,sing
1.274,204.724301,6,20240725,sing
1.279,204.397421,6,20240725,sing
1.284,203.984785,6,20240725,sing
1.289,203.510015,6,20240725,sing
1.294,203.120729,6,20240725,sing
1.299,202.957998,6,20240725,sing
1.304,203.055139,6,20240725,sing
1.309,203.150426,6,20240725,sing
1.314,202.993976,6,20240725,sing
1.319,202.686006,6,20240725,sing
1.324,202.622796,6,20240725,sing
1.329,202.963063,6,20240725,sing
1.334,203.536172,6,20240725,sing
1.339,204.110383,6,20240725,sing
1.344,204.647656,6,20240725,sing
1.349,205.17322,6,20240725,sing
1.354,205.670499,6,20240725,sing
1.359,206.040301,6,20240725,sing
1.364,206.293734,6,20240725,sing
1.369,206.571972,6,20240725,sing
1.374,206.885438,6,20240725,sing
1.379,207.142716,6,20240725,sing
1.384,207.346664,6,20240725,sing
1.389,207.492898,6,20240725,sing
1.394,207.557606,6,20240725,sing
1.399,207.47827,6,20240725,sing
1.404,207.136177,6,20240725,sing
1.409,206.631977,6,20240725,sing
1.414,206.261782,6,20240725,sing
1.419,206.21024,6,20240725,sing
1.424,206.330803,6,20240725,sing
1.429,206.473908,6,20240725,sing
1.434,206.654467,6,20240725,sing
1.439,206.814228,6,20240725,sing
1.444,206.856823,6,20240725,sing
1.449,206.787364,6,20240725,sing
1.454,206.694503,6,20240725,sing
1.459,206.553748,6,20240725,sing
1.464,206.427566,6,20240725,sing
1.469,206.34874,6,20240725,sing
1.474,206.080247,6,20240725,sing
1.479,205.525123,6,20240725,sing
1.484,205.05127,6,20240725,sing
1.489,205.037408,6,20240725,sing
1.494,205.287452,6,20240725,sing
1.499,205.423637,6,20240725,sing
1.504,205.299089,6,20240725,sing
1.509,205.018732,6,20240725,sing
1.514,204.793601,6,20240725,sing
1.519,204.63644,6,20240725,sing
1.524,204.373915,6,20240725,sing
1.529,204.1173,6,20240725,sing
1.534,204.289109,6,20240725,sing
1.539,205.013953,6,20240725,sing
1.544,205.929056,6,20240725,sing
1.549,206.560122,6,20240725,sing
1.554,206.530195,6,20240725,sing
1.559,205.701579,6,20240725,sing
1.564,204.421727,6,20240725,sing
1.569,202.995103,6,20240725,sing
1.574,202.048385,6,20240725,sing
1.579,201.727057,6,20240725,sing
1.584,201.382368,6,20240725,sing
1.789,131.169273,6,20240725,sing
1.794,131.529622,6,20240725,sing
1.799,131.654026,6,20240725,sing
1.804,131.855571,6,20240725,sing
1.809,132.466656,6,20240725,sing
1.814,133.413688,6,20240725,sing
1.819,134.12551,6,20240725,sing
1.824,134.358333,6,20240725,sing
1.829,134.320697,6,20240725,sing
1.834,134.609034,6,20240725,sing
1.839,135.383465,6,20240725,sing
1.844,136.024737,6,20240725,sing
1.849,136.292048,6,20240725,sing
1.854,136.482699,6,20240725,sing
1.859,136.676565,6,20240725,sing
1.864,136.799422,6,20240725,sing
1.869,136.913528,6,20240725,sing
1.874,137.200016,6,20240725,sing
1.879,137.676006,6,20240725,sing
1.884,138.163251,6,20240725,sing
1.889,138.50274,6,20240725,sing
1.894,138.681529,6,20240725,sing
1.899,138.856773,6,20240725,sing
1.904,139.048946,6,20240725,sing
1.909,139.216668,6,20240725,sing
1.914,139.363924,6,20240725,sing
1.919,139.384838,6,20240725,sing
1.924,139.380395,6,20240725,sing
1.929,139.69019,6,20240725,sing
1.934,140.139551,6,20240725,sing
1.939,140.409639,6,20240725,sing
1.944,140.678007,6,20240725,sing
1.949,141.466259,6,20240725,sing
1.954,142.22798,6,20240725,sing
1.959,142.504402,6,20240725,sing
1.964,142.551008,6,20240725,sing
1.969,142.4998,6,20240725,sing
1.974,142.53802,6,20240725,sing
1.979,142.842321,6,20240725,sing
1.984,143.039679,6,20240725,sing
1.989,142.845624,6,20240725,sing
1.994,142.431428,6,20240725,sing
2.764,159.579982,6,20240725,sing
2.769,159.738247,6,20240725,sing
2.774,160.259059,6,20240725,sing
2.779,161.146468,6,20240725,sing
2.784,162.409315,6,20240725,sing
2.789,163.997451,6,20240725,sing
2.794,165.763712,6,20240725,sing
2.799,167.755562,6,20240725,sing
2.804,170.626893,6,20240725,sing
2.809,175.949892,6,20240725,sing
2.814,180.094283,6,20240725,sing
2.819,181.361593,6,20240725,sing
2.824,183.619485,6,20240725,sing
2.829,186.386545,6,20240725,sing
2.834,187.681322,6,20240725,sing
2.839,187.875221,6,20240725,sing
2.844,187.982131,6,20240725,sing
2.849,188.384074,6,20240725,sing
2.854,189.532718,6,20240725,sing
2.859,191.656157,6,20240725,sing
2.864,194.406884,6,20240725,sing
2.869,197.017603,6,20240725,sing
2.874,198.697384,6,20240725,sing
2.879,199.384237,6,20240725,sing
2.884,199.923938,6,20240725,sing
2.889,200.954025,6,20240725,sing
2.894,202.097368,6,20240725,sing
2.899,202.776181,6,20240725,sing
2.904,203.143263,6,20240725,sing
2.909,203.768818,6,20240725,sing
2.914,204.770679,6,20240725,sing
2.919,205.338189,6,20240725,sing
2.924,204.714981,6,20240725,sing
2.929,203.831255,6,20240725,sing
2.934,203.58618,6,20240725,sing
2.939,203.949681,6,20240725,sing
2.944,204.50586,6,20240725,sing
2.949,204.941995,6,20240725,sing
2.954,205.189653,6,20240725,sing
2.959,205.456968,6,20240725,sing
2.964,206.088592,6,20240725,sing
2.969,206.77222,6,20240725,sing
2.974,207.113848,6,20240725,sing
2.979,207.29791,6,20240725,sing
2.984,207.507492,6,20240725,sing
2.989,207.587484,6,20240725,sing
2.994,207.549241,6,20240725,sing
2.999,207.692673,6,20240725,sing
3.004,207.733613,6,20240725,sing
3.009,206.170029,6,20240725,sing
3.014,202.205933,6,20240725,sing
3.019,199.605021,6,20240725,sing
3.024,199.556342,6,20240725,sing
3.029,200.810375,6,20240725,sing
3.034,202.780639,6,20240725,sing
3.039,205.065402,6,20240725,sing
3.044,206.880907,6,20240725,sing
3.049,207.617235,6,20240725,sing
3.054,208.022493,6,20240725,sing
3.059,208.06289,6,20240725,sing
3.064,206.838178,6,20240725,sing
3.069,205.360802,6,20240725,sing
3.074,204.435585,6,20240725,sing
3.079,203.725487,6,20240725,sing
3.084,202.665245,6,20240725,sing
3.089,201.507674,6,20240725,sing
3.094,200.772386,6,20240725,sing
3.099,200.484607,6,20240725,sing
3.104,200.393846,6,20240725,sing
3.109,200.303131,6,20240725,sing
3.114,200.234536,6,20240725,sing
3.119,200.226081,6,20240725,sing
3.124,200.270662,6,20240725,sing
3.129,200.293185,6,20240725,sing
3.134,200.282492,6,20240725,sing
3.139,200.308241,6,20240725,sing
3.144,200.409576,6,20240725,sing
3.149,200.661962,6,20240725,sing
3.154,201.225849,6,20240725,sing
3.159,202.123145,6,20240725,sing
3.164,203.094276,6,20240725,sing
3.169,203.990062,6,20240725,sing
3.174,205.042909,6,20240725,sing
3.179,206.412938,6,20240725,sing
3.184,207.414132,6,20240725,sing
3.189,207.581039,6,20240725,sing
3.194,207.234053,6,20240725,sing
3.199,206.64342,6,20240725,sing
3.204,206.032633,6,20240725,sing
3.209,205.501362,6,20240725,sing
3.214,204.897202,6,20240725,sing
3.219,204.251129,6,20240725,sing
3.224,203.668202,6,20240725,sing
3.229,203.089078,6,20240725,sing
3.234,202.880556,6,20240725,sing
3.239,203.261075,6,20240725,sing
3.244,203.969689,6,20240725,sing
3.249,204.519011,6,20240725,sing
3.254,204.772642,6,20240725,sing
3.259,204.359395,6,20240725,sing
3.264,202.753796,6,20240725,sing
3.269,201.986018,6,20240725,sing
3.274,201.829886,6,20240725,sing
3.279,201.398716,6,20240725,sing
3.284,200.193321,6,20240725,sing
3.289,198.338149,6,20240725,sing
3.524,139.910165,6,20240725,sing
3.529,139.688699,6,20240725,sing
3.534,139.755878,6,20240725,sing
3.539,139.77042,6,20240725,sing
3.544,139.73582,6,20240725,sing
3.549,139.697127,6,20240725,sing
3.554,139.69143,6,20240725,sing
3.559,139.762835,6,20240725,sing
3.564,139.823683,6,20240725,sing
3.569,139.86142,6,20240725,sing
3.574,140.082488,6,20240725,sing
3.579,140.358386,6,20240725,sing
3.584,140.429121,6,20240725,sing
3.589,140.580916,6,20240725,sing
3.594,141.114179,6,20240725,sing
3.599,141.869214,6,20240725,sing
3.604,142.66327,6,20240725,sing
3.609,143.493548,6,20240725,sing
3.614,144.011783,6,20240725,sing
3.619,143.974224,6,20240725,sing
3.624,144.035198,6,20240725,sing
3.629,145.027397,6,20240725,sing
3.634,146.641869,6,20240725,sing
3.639,147.781559,6,20240725,sing
3.644,147.857613,6,20240725,sing
3.649,147.394906,6,20240725,sing
3.654,147.385283,6,20240725,sing
3.659,147.788453,6,20240725,sing
3.664,147.870006,6,20240725,sing
3.669,147.470946,6,20240725,sing
3.674,147.109346,6,20240725,sing
3.679,147.084901,6,20240725,sing
3.684,147.087101,6,20240725,sing
3.689,146.652235,6,20240725,sing
3.694,145.660004,6,20240725,sing
3.699,144.511633,6,20240725,sing
3.704,143.905345,6,20240725,sing
3.709,143.863029,6,20240725,sing
3.714,143.760365,6,20240725,sing
3.719,143.278145,6,20240725,sing
3.724,142.724193,6,20240725,sing
3.729,142.444141,6,20240725,sing
3.734,142.547956,6,20240725,sing
3.739,142.90058,6,20240725,sing
3.744,142.902233,6,20240725,sing
3.749,142.357231,6,20240725,sing
3.754,141.804244,6,20240725,sing
3.759,141.504637,6,20240725,sing
3.764,140.630499,6,20240725,sing
3.769,139.537535,6,20240725,sing
3.774,139.686923,6,20240725,sing
3.779,140.140163,6,20240725,sing
3.784,140.045335,6,20240725,sing
3.789,139.621963,6,20240725,sing
3.794,139.524908,6,20240725,sing
3.799,139.948155,6,20240725,sing
3.804,140.523545,6,20240725,sing
3.809,140.433526,6,20240725,sing
3.814,138.677912,6,20240725,sing
3.819,136.178626,6,20240725,sing
3.824,134.979939,6,20240725,sing
3.829,135.142444,6,20240725,sing
23.962,183.954119,6,20240725,sing
23.967,184.725268,6,20240725,sing
23.972,185.762607,6,20240725,sing
23.977,186.986845,6,20240725,sing
23.982,188.855412,6,20240725,sing
23.987,191.18112,6,20240725,sing
23.992,194.032136,6,20240725,sing
23.997,198.450916,6,20240725,sing
24.002,203.990531,6,20240725,sing
24.007,207.789335,6,20240725,sing
24.012,210.98686,6,20240725,sing
24.017,215.012425,6,20240725,sing
24.022,219.392563,6,20240725,sing
24.027,222.80938,6,20240725,sing
24.032,225.576391,6,20240725,sing
24.037,227.980596,6,20240725,sing
24.042,229.93068,6,20240725,sing
24.047,231.31118,6,20240725,sing
24.052,232.497126,6,20240725,sing
24.057,234.098456,6,20240725,sing
24.062,236.740882,6,20240725,sing
24.067,240.311805,6,20240725,sing
24.072,242.804495,6,20240725,sing
24.077,244.236952,6,20240725,sing
24.082,245.920696,6,20240725,sing
24.087,247.890311,6,20240725,sing
24.092,249.100118,6,20240725,sing
24.097,249.609052,6,20240725,sing
24.102,250.601349,6,20240725,sing
