time,f0,dt,df0,f0stab,speaker,date,condition,gender
11.777,240.454676,0.005,522.0593445,-522.0593445,7,20240725,sing,female
11.782,238.907092,0.005,612.0681056,-612.0681056,7,20240725,sing,female
11.787,239.771806,0.005,617.889945,-617.889945,7,20240725,sing,female
11.792,240.125327,0.005,548.903808,-548.903808,7,20240725,sing,female
11.797,238.578373,0.005,430.7920916,-430.7920916,7,20240725,sing,female
11.802,236.713552,0.005,298.6587952,-298.6587952,7,20240725,sing,female
11.807,236.692907,0.005,187.3534119,-187.3534119,7,20240725,sing,female
11.812,237.269481,0.005,122.9334334,-122.9334334,7,20240725,sing,female
11.817,236.989895,0.005,118.0790098,-118.0790098,7,20240725,sing,female
11.822,236.287679,0.005,172.1087603,-172.1087603,7,20240725,sing,female
11.827,236.348678,0.005,274.3129165,-274.3129165,7,20240725,sing,female
11.832,237.246208,0.005,408.452077,-408.452077,7,20240725,sing,female
11.837,238.215631,0.005,556.5589726,-556.5589726,7,20240725,sing,female
11.842,238.866968,0.005,701.1789975,-701.1789975,7,20240725,sing,female
11.847,239.096621,0.005,826.2900161,-826.2900161,7,20240725,sing,female
11.852,239.426392,0.005,917.8679402,-917.8679402,7,20240725,sing,female
11.857,240.486372,0.005,965.139321,-965.139321,7,20240725,sing,female
11.862,242.133355,0.005,962.9538632,-962.9538632,7,20240725,sing,female
11.867,243.916831,0.005,914.6665049,-914.6665049,7,20240725,sing,female
11.872,245.62195,0.005,833.9589674,-833.9589674,7,20240725,sing,female
11.877,246.739527,0.005,743.7694124,-743.7694124,7,20240725,sing,female
11.882,246.075887,0.005,671.3104421,-671.3104421,7,20240725,sing,female
11.887,243.355376,0.005,639.8616325,-639.8616325,7,20240725,sing,female
11.892,240.842491,0.005,659.8595453,-659.8595453,7,20240725,sing,female
11.897,241.449526,0.005,722.779846,-722.779846,7,20240725,sing,female
11.902,243.977519,0.005,800.7490469,-800.7490469,7,20240725,sing,female
11.907,246.331293,0.005,852.8262716,-852.8262716,7,20240725,sing,female
11.912,248.240427,0.005,836.2941316,-836.2941316,7,20240725,sing,female
11.917,250.180437,0.005,719.2489682,-719.2489682,7,20240725,sing,female
11.922,252.246027,0.005,490.1855679,-490.1855679,7,20240725,sing,female
