time,f0,dt,df0,f0stab,speaker,date,condition,gender
0.41,227.861438,0.005,-2144.399388,-2144.399388,14,20240821,conv,female
0.415,228.206706,0.005,-1434.603022,-1434.603022,14,20240821,conv,female
0.42,228.402788,0.005,-797.7457886,-797.7457886,14,20240821,conv,female
0.425,228.40114,0.005,-252.7663118,-252.7663118,14,20240821,conv,female
0.43,228.423021,0.005,201.7958167,-201.7958167,14,20240821,conv,female
0.435,228.720401,0.005,578.5333999,-578.5333999,14,20240821,conv,female
0.44,229.471498,0.005,892.5224259,-892.5224259,14,20240821,conv,female
0.445,230.819946,0.005,1155.871796,-1155.871796,14,20240821,conv,female
0.45,232.674131,0.005,1375.888989,-1375.888989,14,20240821,conv,female
0.455,234.289939,0.005,1555.718746,-1555.718746,14,20240821,conv,female
0.46,235.300576,0.005,1695.872087,-1695.872087,14,20240821,conv,female
0.465,236.150817,0.005,1795.569094,-1795.569094,14,20240821,conv,female
0.47,237.292498,0.005,1853.67439,-1853.67439,14,20240821,conv,female
0.475,238.822075,0.005,1869.584612,-1869.584612,14,20240821,conv,female
0.48,240.964487,0.005,1844.416472,-1844.416472,14,20240821,conv,female
0.485,243.569008,0.005,1782.369282,-1782.369282,14,20240821,conv,female
0.49,244.933276,0.005,1691.640961,-1691.640961,14,20240821,conv,female
0.495,245.432425,0.005,1584.202505,-1584.202505,14,20240821,conv,female
0.5,245.457315,0.005,1474.206663,-1474.206663,14,20240821,conv,female
0.505,245.445694,0.005,1375.533971,-1375.533971,14,20240821,conv,female
0.51,246.067992,0.005,1299.464116,-1299.464116,14,20240821,conv,female
0.515,247.578168,0.005,1253.352023,-1253.352023,14,20240821,conv,female
0.52,249.064386,0.005,1240.544666,-1240.544666,14,20240821,conv,female
0.525,249.658565,0.005,1261.026149,-1261.026149,14,20240821,conv,female
0.53,249.956331,0.005,1311.934707,-1311.934707,14,20240821,conv,female
0.535,250.522282,0.005,1387.375867,-1387.375867,14,20240821,conv,female
0.54,251.247993,0.005,1477.660425,-1477.660425,14,20240821,conv,female
0.545,252.210371,0.005,1568.730677,-1568.730677,14,20240821,conv,female
