SpeakerID,d,sgm,Cohens_d
14,0.854795192543537,0.0261495245108106,1.49513975713795
15,0.922146636432351,0.0202326382224161,2.00770223865261
16,0.905667642076082,0.0257132785084021,1.85903958359182
17,0.854341736694678,0.0396095251241179,1.49233177431673
18,0.806240928882438,0.0451684688451499,1.22206008717213
19,0.802333333333333,0.0510440974326288,1.20206055013185
20,0.952372994652406,0.0176982962684877,2.35934800482425
10,0.942786069651741,0.020064149717983,2.23247736920299
11,0.911297852474323,0.0207254591594281,1.90747769426328
12,0.913832199546485,0.0282548222071775,1.93003013733726
13,0.951641925326136,0.0186937039753309,2.34898969661809
8,0.921499140893471,0.0231749357496023,2.00143433829028
9,0.934375801076647,0.019832349234298,2.13432713583389
1,0.980295566502463,0.0111093446133951,2.91312719869759
2,0.982738095238095,0.0103831762214766,2.98950604489426
3,0.955213903743315,0.0131303019566166,2.40085199080484
4,0.891279069767442,0.0297749644552711,1.74423300259749
5,0.929508196721311,0.0268286265308714,2.08191757355453
6,0.992257742257742,0.00686784380154899,3.4235905917432
7,0.978376436781609,0.00996002202931581,2.85857164637961
