date,condition,speaker,duration,start,end,IOI
20240724,sing,5,0.307330354,43.06892818,43.37625853,3.253827638
20240724,sing,5,0.388206763,43.37625853,43.76446529,2.57594688
20240724,sing,5,0.684753596,43.76446529,44.44921889,1.460379334
20240724,sing,5,0.237237466,44.44921889,44.68645636,4.215185804
20240724,sing,5,0.377423242,44.68645636,45.0638796,2.649545362
20240724,sing,5,0.440197055,45.0638796,45.50407665,2.271709883
20240724,sing,1,0.338797334,45.61136375,45.95016108,2.951617091
20240724,sing,1,0.301938593,45.95016108,46.25209968,3.311931703
20240724,sing,1,0.576918384,46.25209968,46.82901806,1.733347433
20240724,sing,1,0.339680918,47.22800834,47.56768926,2.943939292
20240724,sing,1,0.307330354,47.56768926,47.87501962,3.253827638
20240724,sing,1,0.404382045,47.87501962,48.27940166,2.472909005
20240724,sing,1,0.616023777,48.27940166,48.89542544,1.623313964
20240724,sing,2,0.215670424,49.19928748,49.4149579,4.636704384
20240724,sing,2,0.388206763,49.4149579,49.80316466,2.57594688
20240724,sing,2,0.781773259,49.80316466,50.58493792,1.279143266
20240724,sing,3,0.377455269,50.58493792,50.96239319,2.649320547
20240724,sing,3,1.04202927,50.96239319,52.00442246,0.959665941
20240724,conv,5,0.231265523,4.736660643,4.967926167,4.324034066
20240724,conv,5,0.220118867,4.967926167,5.188045033,4.542999943
20240724,conv,5,0.152389985,5.188045033,5.340435018,6.562111028
20240724,conv,5,0.172708649,5.421709677,5.594418326,5.790097966
20240724,conv,5,0.176095094,5.658760764,5.834855858,5.678749928
20240724,conv,5,0.22241873,5.834855858,6.057274588,4.49602424
20240724,conv,4,0.212076952,8.698050255,8.910127207,4.715269572
20240724,conv,4,0.220118867,8.910127207,9.130246074,4.542999943
20240724,conv,4,0.19326997,9.130246074,9.323516044,5.174109553
20240724,conv,4,0.137272314,9.516543358,9.653815673,7.284790119
20240724,conv,4,0.218974307,9.796046325,10.01502063,4.566745807
20240724,conv,4,0.196413758,10.01502063,10.21143439,5.091293039
20240724,conv,4,0.273516026,10.21143439,10.48495042,3.656092901
20240724,conv,4,0.172708649,10.48495042,10.65765907,5.790097966
20240724,conv,4,0.179481538,10.65765907,10.8371406,5.571603703
20240724,conv,4,0.104979767,10.8371406,10.94212037,9.525645041
20240724,conv,4,0.149003541,10.94212037,11.09112391,6.711249915
20240724,conv,4,0.159162873,11.09112391,11.25028678,6.282872261
20240724,conv,4,0.298007081,11.25028678,11.54829387,3.355624958
20240724,conv,4,0.189756826,11.54829387,11.73805069,5.269902638
20240724,conv,3,0.183863879,12.7369792,12.92084308,5.438806174
20240724,conv,3,0.13207132,12.92084308,13.0529144,7.571666571
20240724,conv,3,0.135457764,13.0529144,13.18837216,7.382374907
20240724,conv,3,0.176095094,13.18837216,13.36446725,5.678749928
20240724,conv,3,0.118525544,13.36446725,13.4829928,8.436999893
20240724,conv,3,0.231850093,13.4829928,13.71484289,4.313131757
20240724,conv,3,0.130499426,13.71484289,13.84534232,7.662868939
20240724,conv,3,0.338644411,13.84534232,14.18398673,2.952949963
20240724,conv,3,0.172708649,14.18398673,14.35669538,5.790097966
20240724,conv,3,0.094820435,14.35669538,14.45151581,10.54624987
20240724,conv,3,0.118525544,14.45151581,14.57004136,8.436999893
20240724,conv,3,0.091433991,14.57004136,14.66147535,10.93685171
20240724,conv,3,0.133643214,14.66147535,14.79511856,7.482609623
20240724,conv,3,0.125298432,14.79511856,14.92041699,7.980945845
20240724,conv,3,0.218546973,14.92041699,15.13896397,4.575675362
20240724,conv,3,0.203186646,15.13896397,15.34215061,4.921583271
20240724,conv,5,0.155659209,16.36752722,16.52318642,6.424290657
20240724,conv,5,0.111752656,16.52318642,16.63493908,8.94833322
20240724,conv,5,0.200586149,16.63493908,16.83552523,4.985389089
20240724,conv,5,0.314939302,16.83552523,17.15046453,3.175215014
20240724,conv,5,0.243038029,17.15046453,17.39350256,4.114582418
20240724,conv,5,0.260756196,17.39350256,17.65425876,3.834999952
20240724,conv,5,0.216732423,17.65425876,17.87099118,4.613984317
20240724,conv,5,0.369122408,17.87099118,18.24011359,2.709128406
