language,date,condition,speaker,duration,start,end,IOI
Japanese,20250515,sing,10,0.172000156,54.24133848,54.41333863,5.813948212
Japanese,20250515,sing,10,0.322701323,54.41333863,54.73603996,3.098840724
Japanese,20250515,sing,10,0.181165655,54.73603996,54.91720561,5.519810039
Japanese,20250515,sing,10,0.449139852,54.91720561,55.36634546,2.226477999
Japanese,20250515,sing,10,0.500092693,55.36634546,55.86643816,1.999629297
Japanese,20250515,sing,10,0.489982015,55.86643816,56.35642017,2.040891237
Japanese,20250515,sing,10,0.524625542,56.35642017,56.88104571,1.906121452
Japanese,20250515,sing,10,0.527932855,56.88104571,57.40897857,1.894180275
Japanese,20250515,sing,10,0.12643853,57.40897857,57.5354171,7.908981549
Japanese,20250515,sing,10,0.264199913,57.5354171,57.79961701,3.785012598
Japanese,20250515,sing,10,0.2189085,57.79961701,58.01852551,4.568118653
Japanese,20250515,sing,10,0.322701323,58.654666,58.97736732,3.098840724
Japanese,20250515,sing,10,0.19437565,58.97736732,59.17174297,5.144677318
Japanese,20250515,sing,10,0.311378469,59.17174297,59.48312144,3.211525841
Japanese,20250515,sing,10,0.23887088,59.48312144,59.72199232,4.186362112
Japanese,20250515,sing,10,0.477446986,59.72199232,60.19943931,2.094473375
Japanese,20250515,sing,10,0.500872336,60.19943931,60.70031165,1.996516732
Japanese,20250515,sing,10,0.830342584,60.70031165,61.53065423,1.20432219
Japanese,20250515,sing,10,0.25287706,61.53065423,61.78353129,3.954490774
Japanese,20250515,sing,10,0.184939939,61.78353129,61.96847123,5.407160855
Japanese,20250515,sing,10,0.165635985,61.96847123,62.13410721,6.037335427
Japanese,20250515,sing,10,0.32081418,62.13410721,62.45492139,3.117069199
Japanese,20250515,sing,10,0.210895592,89.59646453,89.80736012,4.741682801
Japanese,20250515,sing,10,0.33299304,89.80736012,90.14035316,3.003065774
Japanese,20250515,sing,10,0.147996906,90.14035316,90.28835007,6.756897991
Japanese,20250515,sing,10,0.606787317,90.28835007,90.89513738,1.6480239
Japanese,20250515,sing,10,0.525389018,90.89513738,91.4205264,1.903351547
Japanese,20250515,sing,10,1.173215032,91.4205264,92.59374143,0.852358667
Japanese,20250515,sing,10,0.999148893,92.59374143,93.59289032,1.000851832
Japanese,20250515,sing,10,0.199795824,93.88518421,94.08498004,5.005109623
