language,date,condition,speaker,duration,start,end,IOI
Japanese,20250515,conv,10,0.200821798,66.50256816,66.70338996,4.979539112
Japanese,20250515,conv,10,0.156194732,66.70338996,66.85958469,6.402264572
Japanese,20250515,conv,10,0.124955786,66.85958469,66.98454048,8.002830715
Japanese,20250515,conv,10,0.089254133,66.98454048,67.07379461,11.203963
Japanese,20250515,conv,10,0.04016436,67.07379461,67.11395897,24.89769556
Japanese,20250515,conv,10,0.133881199,67.11395897,67.24784017,7.469308668
Japanese,20250515,conv,10,0.176276912,68.15295745,68.32923436,5.672892659
Japanese,20250515,conv,10,0.05355248,68.32923436,68.38278684,18.67327167
Japanese,20250515,conv,10,0.062477893,68.38278684,68.44526473,16.00566143
Japanese,20250515,conv,10,0.109336313,68.44526473,68.55460105,9.146092246
Japanese,20250515,conv,10,0.104873606,68.55460105,68.65947465,9.535287661
Japanese,20250515,conv,10,0.091485486,68.65947465,68.75096014,10.93069561
Japanese,20250515,conv,10,0.084791426,68.75096014,68.83575156,11.79364526
Japanese,20250515,conv,10,0.089254133,68.83575156,68.9250057,11.203963
Japanese,20250515,conv,10,0.082549568,70.95928042,71.04182999,12.11393382
Japanese,20250515,conv,10,0.156844179,71.04182999,71.19867417,6.375754643
Japanese,20250515,conv,10,0.11006609,71.19867417,71.30874026,9.085450366
Japanese,20250515,conv,10,0.057784697,71.30874026,71.36652496,17.30561974
Japanese,20250515,conv,10,0.126576004,71.36652496,71.49310096,7.900391622
Japanese,20250515,conv,10,0.08530122,71.49310096,71.57840218,11.72316176
Japanese,20250515,conv,10,0.184360701,71.57840218,71.76276288,5.424149472
Japanese,20250515,conv,10,0.133540858,71.76276288,71.89630374,7.488344883
Japanese,20250515,conv,10,0.389273071,71.89630374,72.28557681,2.568890773
Japanese,20250515,conv,10,0.143085917,72.53322551,72.67631143,6.988807974
Japanese,20250515,conv,10,0.096307829,72.67631143,72.77261926,10.38337185
Japanese,20250515,conv,10,0.082549568,72.77261926,72.85516883,12.11393382
Japanese,20250515,conv,10,0.134830961,72.85516883,72.98999979,7.416694176
Japanese,20250515,conv,10,0.118351916,72.98999979,73.1083517,8.449377371
Japanese,20250515,conv,10,0.456774275,74.04116182,74.49793609,2.189265148
Japanese,20250515,conv,10,0.148446199,74.72081993,74.86926613,6.736447332
