language,date,condition,speaker,duration,start,end,IOI
Japanese,20250515,sing,8,0.796598953,41.81621498,42.61281393,1.255336825
Japanese,20250515,sing,8,0.252672346,42.61281393,42.86548628,3.957694678
Japanese,20250515,sing,8,0.502440413,42.86548628,43.36792669,1.990285763
Japanese,20250515,sing,8,0.273002305,43.36792669,43.640929,3.662972734
Japanese,20250515,sing,8,0.261385186,43.640929,43.90231418,3.825771522
Japanese,20250515,sing,8,0.940610101,73.81641442,74.75702452,1.063139763
Japanese,20250515,sing,8,0.188696056,74.75702452,74.94572057,5.299527836
Japanese,20250515,sing,8,0.606787317,74.94572057,75.55250789,1.6480239
Japanese,20250515,sing,8,0.270094354,75.55250789,75.82260224,3.702409858
Japanese,20250515,sing,8,0.272708129,75.82260224,76.09531037,3.666924056
Japanese,20250515,sing,8,0.233095128,76.09531037,76.3284055,4.290093962
Japanese,20250515,sing,8,0.2774942,76.3284055,76.6058997,3.603678928
Japanese,20250515,sing,8,0.23679505,76.6058997,76.84269475,4.223061244
Japanese,20250515,sing,8,0.284894045,76.84269475,77.1275888,3.510076878
Japanese,20250515,sing,8,0.226577904,77.1275888,77.3541667,4.413493028
Japanese,20250515,sing,8,0.517989173,77.3541667,77.87215587,1.930542283
Japanese,20250515,sing,8,1.820452611,105.974363,107.7948156,0.549313942
Japanese,20250515,sing,8,0.226911699,108.2171235,108.4440352,4.407000622
Japanese,20250515,sing,8,0.336784824,108.4440352,108.78082,2.969254934
Japanese,20250515,sing,8,0.232264072,108.78082,109.0130841,4.30544419
Japanese,20250515,sing,8,0.083381713,112.0517258,112.1351075,11.99303733
Japanese,20250515,sing,8,0.265925532,112.1351075,112.401033,3.760451255
Japanese,20250515,sing,8,0.252460948,112.401033,112.653494,3.961008655
Japanese,20250515,sing,8,0.252460948,112.653494,112.9059549,3.961008655
Japanese,20250515,sing,8,0.205334904,112.9059549,113.1112898,4.870092609
Japanese,20250515,sing,8,0.205334904,113.1112898,113.3166247,4.870092609
Japanese,20250515,sing,8,0.249094802,113.3166247,113.5657195,4.014535799
Japanese,20250515,sing,8,0.221980559,113.5657195,113.7877001,4.50489901
Japanese,20250515,sing,8,0.558780232,113.7877001,114.3464803,1.789612344
Japanese,20250515,sing,8,0.616004713,114.3464803,114.962485,1.623364203
