language,date,condition,speaker,duration,start,end,IOI
Japanese,20250515,conv,2,0.187154193,18.3399959,18.52715009,5.343187793
Japanese,20250515,conv,2,0.103896068,18.52715009,18.63104616,9.62500332
Japanese,20250515,conv,2,0.097531058,18.63104616,18.72857722,10.25314414
Japanese,20250515,conv,2,0.318952921,18.72857722,19.04753014,3.135258953
Japanese,20250515,conv,2,0.670183423,19.04753014,19.71771356,1.49212882
Japanese,20250515,conv,2,0.147614575,20.32425994,20.47187451,6.774398808
Japanese,20250515,conv,2,0.147614575,20.47187451,20.61948909,6.774398808
Japanese,20250515,conv,2,0.180891088,20.61948909,20.80038018,5.52818831
Japanese,20250515,conv,2,0.143788458,20.80038018,20.94416864,6.954661123
Japanese,20250515,conv,2,0.23048444,20.94416864,21.17465308,4.338687673
Japanese,20250515,conv,2,0.097268663,21.17465308,21.27192174,10.2808034
Japanese,20250515,conv,2,0.095154127,21.27192174,21.36707587,10.5092657
Japanese,20250515,conv,2,0.097268663,21.36707587,21.46434453,10.2808034
Japanese,20250515,conv,2,0.070308327,21.46434453,21.53465286,14.22306636
Japanese,20250515,conv,2,0.084052812,21.53465286,21.61870567,11.89728192
Japanese,20250515,conv,2,0.069491118,21.61870567,21.68819679,14.39032824
Japanese,20250515,conv,2,0.377054195,21.68819679,22.06525098,2.652138639
Japanese,20250515,conv,2,0.08313207,22.26243148,22.34556355,12.02905207
Japanese,20250515,conv,2,0.072951497,22.34556355,22.41851504,13.70773787
Japanese,20250515,conv,2,0.145902994,22.41851504,22.56441804,6.853868933
Japanese,20250515,conv,2,0.10995588,22.56441804,22.67437392,9.094556853
Japanese,20250515,conv,2,0.102555003,22.67437392,22.77692892,9.750865079
Japanese,20250515,conv,2,0.269854212,22.77692892,23.04678313,3.705704613
Japanese,20250515,conv,2,0.134083235,23.66002017,23.79410341,7.458053969
Japanese,20250515,conv,2,0.093039591,23.79410341,23.887143,10.74811264
Japanese,20250515,conv,2,0.199823666,23.887143,24.08696667,5.004412236
Japanese,20250515,conv,2,0.101497735,24.1410165,24.24251424,9.852436591
Japanese,20250515,conv,2,0.065550621,24.24251424,24.30806486,15.25538569
Japanese,20250515,conv,2,0.10995588,24.30806486,24.41802074,9.094556853
Japanese,20250515,conv,2,0.096211395,24.41802074,24.51423213,10.39377926
