fileName,IntervalName,duration,start,end,Annotator,Language,Location,Group,Condition
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2349097463306098,0.0393418987069412,0.2742516450375511,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.4851053507974233,0.2742516450375511,0.7593569958349744,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.4096937837789802,0.7593569958349744,1.1690507796139546,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2573772402832546,1.1690507796139546,1.4264280198972092,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1365143105713548,1.4264280198972092,1.562942330468564,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.0928023465609071,1.562942330468564,1.6557446770294713,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.0959644138833328,1.6557446770294713,1.751709090912804,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1361487878481029,1.751709090912804,1.887857878760907,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.135116038271768,1.887857878760907,2.022973917032675,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2027494834401095,2.022973917032675,2.2257234004727846,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2419011078285446,2.2257234004727846,2.4676245083013293,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.3125213719145669,2.4676245083013293,2.7801458802158963,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.0929851160908592,3.3687233811827544,3.4617084972736136,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.0574006546248195,3.4617084972736136,3.519109151898433,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1054980601087356,3.519109151898433,3.624607212007169,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1125609282850765,3.624607212007169,3.7371681402922454,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1610157854777676,3.7371681402922454,3.898183925770013,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.0745930888343098,3.898183925770013,3.972777014604323,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2295945638214673,3.972777014604323,4.20237157842579,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.369811130280687,4.20237157842579,4.572182708706477,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.256336953245067,4.572182708706477,4.828519661951544,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1998013952028428,4.828519661951544,5.028321057154387,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.121348111281506,5.028321057154387,5.149669168435893,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.191563305043414,5.149669168435893,5.341232473479307,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1906095845513107,5.341232473479307,5.531842058030618,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1458574815645574,5.531842058030618,5.677699539595175,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.250290741626066,5.677699539595175,5.927990281221241,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2456587623197927,5.927990281221241,6.173649043541034,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.09228597177274,6.765110320930997,6.857396292703737,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1901650327438266,6.857396292703737,7.047561325447564,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2013512111405226,7.047561325447564,7.248912536588087,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2992302721116102,7.248912536588087,7.548142808699697,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.2378886272396743,7.548142808699697,7.786031435939371,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1753166045560439,7.786031435939371,7.961348040495415,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.227918384832674,7.961348040495415,8.18926642532809,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.3560268692870032,8.18926642532809,8.545293294615092,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1743472743069993,8.545293294615092,8.719640568922092,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.228609458136324,8.719640568922092,8.948250027058416,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1202514177644786,8.948250027058416,9.068501444822894,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1227936522013752,9.068501444822894,9.19129509702427,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1352349519348106,9.19129509702427,9.32653004895908,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.1852237148328814,9.32653004895908,9.511753763791962,Savage,Mandarin,Auckland,C1,conv
Savage_Mandarin_Auckland_C1_conv.TextGrid,19,0.3812910260372284,9.511753763791962,9.89304478982919,Savage,Mandarin,Auckland,C1,conv
